Code,Name,AddressLineOne,InvoiceDate,SerialNo,Total,Age,Balance
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,17/02/2023 00:00,2702DSI000469,6182.49,204,1887
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,17/02/2023 00:00,2702DSI000470,5375,204,5375
CD0111_JLM,New Pharmacy,Wattala,17/02/2023 00:00,2702DSI000472,2152.53,204,2152.53
CD0258_JLM,Rilaulla Pharmacy,"No.186,Colombo Rd,Kandana.",18/02/2023 00:00,2702DSI000479,22408.43,203,22408.43
CD0055_JLM,Healthline Pharmacy,Kandana,18/02/2023 00:00,2702DSI000480,14316.64,203,14316.64
CD0396_JLM,Hansi Pharmacy,"No. 440, Negombo Road, Kapuwatta, Ja-Ela.",18/02/2023 00:00,2702DSI000481,968.94,203,968.94
CD0119_JLM,Nirmalanaka Pharmacy,Ja-Ela,18/02/2023 00:00,2702DSI000482,6389.92,203,6389.92
CD0460_JLM,Darshana Pharmacy,"No. 03, Goods Shed Road, Ja-ela.",18/02/2023 00:00,2702DSI000483,10750,203,10750
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,20/02/2023 00:00,2702DSI000523,12993.77,201,12993.77
CD0073_JLM,Kapuwatha Pharmacy,Ja-Ela,20/02/2023 00:00,2702DSI000525,3326.91,201,3326.91
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,20/02/2023 00:00,2702DSI000526,13060.44,201,12575.97
CD0528_JLM,Orient Pharmacy,"No. 410, Chilaw Road, Negombo.",20/02/2023 00:00,2702DSI000528,5662,201,5662
CD0168_JLM,Sriee Pharmacy,"128 Greens Road,, Negombo",20/02/2023 00:00,2702DSI000530,18729.9,201,18729.9
CD0164_NSF,Shanthi Vidya Nivasa,Katana,20/02/2023 00:00,DSR30DSI000576,190089.7,201,190089.7
CD0071_JLM,Kalidson Pharmacy,Negombo,20/02/2023 00:00,2702DSI000593,54836,201,54836
CD0189_NSF,Thalahena Pharmacy,"177 Pitipana Road,, Negombo",20/02/2023 00:00,DSR30DSI000600,132655.98,201,132655.98
CD0250_JLM,New Pharmacy,"No.20, Adnivas Road, Periyamulla, Negombo.",21/02/2023 00:00,2702DSI000605,2303.43,200,1614.9
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,21/02/2023 00:00,2702DSI000607,12802.56,200,11425.5
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,21/02/2023 00:00,2702DSI000619,2439.47,200,2439.47
MORIGAMP030599_JLM,Vision Pharmacy,"MAIN STREET, JA-ELA",21/02/2023 00:00,2702DSI000627,22429.56,200,22429.56
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,22/02/2023 00:00,2702DSI000691,23278.37,199,7000.94
CD0104_JLM,Nawa Osusala,Ja-Ela,22/02/2023 00:00,2702DSI000692,5865,199,5865
CD0568_JLM,Healing Pharmacy,"No.461A,Chilaw Road,Dalupotha,Negombo.",22/02/2023 00:00,2702DSI000693,10947.88,199,10947.88
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,22/02/2023 00:00,2702DSI000696,9287.38,199,9287.38
CD0182_JLM,Supreem Pharmacy,Negombo,22/02/2023 00:00,2702DSI000697,48404.23,199,48404.23
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,22/02/2023 00:00,2702DSI000698,5114.04,199,5114.04
CD0183_JLM,Suranga Pharmacy,Katana,22/02/2023 00:00,2702DSI000699,2991.96,199,2991.96
CD0257_JLM,Nirodha Pharmacy,"No.223,Hospital Junc,Akkaragama",22/02/2023 00:00,2702DSI000700,21749.99,199,21749.99
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,22/02/2023 00:00,2702DSI000701,14508.96,199,14508.96
CD0474_JLM,Pradipa Osusala  Grocery,"No. 31G, Katana Road, Thibirigaskatuwa, Negombo.",22/02/2023 00:00,2702DSI000703,2913,199,2913
COLD60540_NSF,Carelink Pharmacy,"NO.69/B,SIRIWARDENE ROAD,RAGAMA.",22/02/2023 00:00,DSR30DSI000721,4139.12,199,4139.12
CD0441_NSF,Isura Pharmacy,"No. 621 C, Tewatta Road, Ragama.",22/02/2023 00:00,DSR30DSI000727,26602.73,199,4339
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,23/02/2023 00:00,2702DSI000801,1740,198,1740
CD0208_NSF,Ragama Private Hospital,"18, Fatima Road,Ja-Ela.",23/02/2023 00:00,DSR30DSI000803,3263.25,198,3263.25
CD0208_NSF,Ragama Private Hospital,"18, Fatima Road,Ja-Ela.",23/02/2023 00:00,7135DSI000804,29471.25,198,29471.25
CD0242_JLM,K. S. A. Medical,"Sirakandaura Road, Negombo",23/02/2023 00:00,2702DSI000821,4350,198,4350
COLD56853_JLM5,Dineth Pharmacy,"NO.216/C,AIRPORT GARDEN,DIVULAPITIYA RD,DOWN KADIRANA,THIMBIRIGASKATTUWA.",23/02/2023 00:00,2702DSI000822,5227.94,198,4054.94
CD0269_JLM,Subhani Pharmacy,"No.244,Divulapitiya Rd,Demanhandiya",23/02/2023 00:00,2702DSI000823,6288.38,198,6288.38
CD0459_JLM,Danya Pharmacy,"No. 27, MInuwangoda Road, Bolawalana, Negombo.",23/02/2023 00:00,2702DSI000825,5150.58,198,4666.11
CD0476_JLM,Dagonna Pharmacy  Mini Mart,"11421, Nalaka Watta, Walpola Road, Kimbulapitiya, Negombo.",23/02/2023 00:00,2702DSI000827,26133,198,26133
COLD15104_JLM,S M Medicals,"NO.335/A/1,DAGONNA ROAD,NEGOMBO.",23/02/2023 00:00,2702DSI000828,1242.48,198,1242.48
CD0538_JLM,Ranmina Osusala,"No. 3033, Negombo Road, Kimbulapitiya.",24/02/2023 00:00,2702DSI000889,9194.91,197,9194.91
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,25/02/2023 00:00,2702DSI000895,2112.48,196,2112.48
COLD15133_NSF,Well Care Pharmacy,"NO.3/1,B,DISAGEWATTA,KATANA.",25/02/2023 00:00,7135DSI000909,6704.21,196,6704.21
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",25/02/2023 00:00,DSR30DSI000928,53181.92,196,53181.92
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,27/02/2023 00:00,2702DSI000939,18232.53,194,18232.53
COLD14180_JLM,Soft Life Pharmacy,"NO.244,AMANDOLUWA ROAD,SEEDUWA.",27/02/2023 00:00,2702DSI000945,8334.23,194,8334.23
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,27/02/2023 00:00,2702DSI000946,16287.28,194,16287.28
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",27/02/2023 00:00,7135DSI000957,23410.07,194,23410.07
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",27/02/2023 00:00,DSR30DSI000958,35554.7,194,35554.7
COLD15275_JLM,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",27/02/2023 00:00,2702DSI000959,34314.73,194,34314.73
CD0547_JLM,New St. Joseph Pharmacy,"No. 951, Amandoluwa, Seeduwa.",27/02/2023 00:00,2702DSI000960,11396.67,194,11396.67
COLD13777_NSF,Royal Pharmacy - Kanda,"NO.04,PUBLIC MARKET,KANDANA.",28/02/2023 00:00,7135DSI000988,7441.52,193,7441.52
CD0508_NSF,St. Joseph Pharmacy  Grocery,"No. 128D, Minuwangoda Road, Ja-Ela.",28/02/2023 00:00,DSR30DSI001002,48613.5,193,1156.1
CD0128_NSF,Osu Sala Wattala,Wattala,28/02/2023 00:00,7135DSI001004,195344.74,193,140871
CD0510_JLM,Sri Lak Pharmacy,"Kotugoda Road, Mukalangamuwa, Seeduwa.",28/02/2023 00:00,2702DSI001021,14692.1,193,14692.1
COLD15066_JLM,Zoom Care Pharmacy and Grocery,"NO.182/B-1,RADDOLUWA,SEEDUWA.",28/02/2023 00:00,2702DSI001022,3768.5,193,1516
CD0160_JLM,Seeduwa Medicals,Seeduwa,28/02/2023 00:00,2702DSI001023,49823.74,193,49167.52
CD0480_JLM,Thilana Pharmacy,"No. 50, Minuwangoda Road, Ekala, Ja-Ela.",28/02/2023 00:00,2702DSI001025,8679.88,193,8679.88
CD0129_JLM,P.T. Pharma,Ja-Ela,28/02/2023 00:00,2702DSI001026,5482.47,193,5482.47
CD0192_JLM,Thrithva Pharmacy,"45 Negambo Road,, Ja-Ela",28/02/2023 00:00,2702DSI001028,11411.73,193,11411.73
CD0293_JLM,St. Joshep Pharmacy,Bopitiya.,28/02/2023 00:00,2702DSI001030,4746,193,4746
CD0402_NSF,Pamunugama Osu Sala,"No. 33, Housing Scheme, Raddolugama.",28/02/2023 00:00,7135DSI001065,38992.2,193,38992.2
COLD13770_NSF,Iresha Dilhani Dr.,"NO.174,KOTUGODA RD,RADDOLUGAMA,SEEDUWA.",28/02/2023 00:00,7135DSI001109,12608.8,193,12608.8
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,28/02/2023 00:00,2702DSI001114,3354.9,193,3354.9
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,28/02/2023 00:00,2702DSI001115,16937.25,193,16937.25
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,28/02/2023 00:00,2702DSI001117,4905,193,3961.5
CD0167_JLM,Silveray Pharmacy,Negombo,28/02/2023 00:00,2702DSI001118,1839,193,1839
CD0446_JLM,The Pharmacy APY (Pvt) Ltd,"No.107A,St. Marys Rd,Silva Place,Ja-Ela.",28/02/2023 00:00,2702DSI001119,9064.41,193,8282.41
MORIGAM25766_JLM,Rasal Stores,NEGAMBO,28/02/2023 00:00,2702DSI001120,7446.46,193,7446.46
MORIGAM25766_JLM,Rasal Stores,NEGAMBO,28/02/2023 00:00,2702DSI001121,1740,193,1740
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,28/02/2023 00:00,2702DSI001122,11323.55,193,11323.55
CD0316_JLM,KFD Distributors,Negombo.,28/02/2023 00:00,2702DSI001128,946647.6,193,946647.6
CD0216_NSF,C  D Pharmacy,"1753, Suraweera Mawatha,Walpola,",28/02/2023 00:00,7135DSI001205,3059.72,193,3059.72
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,28/02/2023 00:00,2702DSI001238,3162.06,193,3162.06
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,28/02/2023 00:00,2702DSI001240,1740,193,1740
CD0549_JLM,Lakshan Chemist,"No. 6911, Negombo Road, Mabole, Wattala.",28/02/2023 00:00,2702DSI001286,11930,193,8700
COLD14197_NSF,Arogya Pharmacy and Grocery,"NO.29/1,MAKEVITA JUNCTION,MAKEVITA,JA-ELA.",28/02/2023 00:00,DSR30DSI001300,22205.4,193,22205.4
CD0062_JLM,Isuri Pharmacy,"Shopping Complex, Wattala.",4/3/2023 0:00,2702DSI001318,24754.26,189,24754.26
CD0128_JLM,Osu Sala Wattala,Wattala,4/3/2023 0:00,2702DSI001319,9366.9,189,9366.9
CD0078_JLM,Krishmo Pharmacy,"294 Hendala Road,, Wattala",4/3/2023 0:00,2702DSI001320,5859.47,189,5859.47
MORIGAMP035269_JLM,JAYAMAHA SUPER,NO.215.HENDALA RD.HENDALA,4/3/2023 0:00,2702DSI001321,19074.46,189,19074.46
CD0088_JLM,Mahajana Osu Sala,Negombo,4/3/2023 0:00,2702DSI001323,9756,189,9756
CD0468_JLM,Kandawala Pharmacy,"No. 3983, Mirigama Road, Kandawala, Katana.",4/3/2023 0:00,2702DSI001324,15727.88,189,13790
CD0111_JLM,New Pharmacy,Wattala,4/3/2023 0:00,2702DSI001325,19474.87,189,19474.87
CD0437_JLM,Amman Medicals,"297, Negombo Road, Peliyagoda.",4/3/2023 0:00,2702DSI001326,3876,189,3876
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,4/3/2023 0:00,2702DSI001334,5437.47,189,5437.47
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,4/3/2023 0:00,2702DSI001335,8297.51,189,8297.51
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,4/3/2023 0:00,2702DSI001336,13963.53,189,13963.53
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,4/3/2023 0:00,2702DSI001337,24681.24,189,24681.24
COLD22555_NSF,Nilan Wijenayaka C.Dr.,"NO.70C3,JATHIKA NIWASA YOJANA KRAMA RD,KOSWALA,RADDOLUGAMA.",8/3/2023 0:00,7135DSI001391,6304.4,185,6304.4
CD0163_NSF,Sethma Pharmacy,Kandana,8/3/2023 0:00,7135DSI001427,140804,185,140804
CD0078_NSF,Krishmo Pharmacy,"294 Hendala Road,, Wattala",10/3/2023 0:00,DSR30DSI001502,26282.03,183,17090.36
CD0124_NSF,Orient Pharmacy,Averiwatta,13/03/2023 00:00,7135DSI001575,33120.44,180,33120.44
NW0079_JLM,K  K Pharmacy,Minuwangoda,13/03/2023 00:00,2702DSI001584,10906.36,180,10906.36
CD0335_JLM,Calvary Medicals,"25A, St. Marys Road, Ja-Ela.",13/03/2023 00:00,2702DSI001608,54910,180,54910
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",14/03/2023 00:00,7135DSI001658,31391.6,179,28174.2
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",14/03/2023 00:00,7135DSI001660,71484.72,179,28171.2
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",14/03/2023 00:00,DSR30DSI001661,42094.98,179,42094.98
CD0052_JLM,Health  Glow Pharmacy,"223 Negombo Road,  , Wattala",14/03/2023 00:00,2702DSI001662,28859.22,179,28859.22
CD0138_JLM,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",16/03/2023 00:00,2702DSI001741,77512.24,177,77512.24
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",18/03/2023 00:00,7135DSI001849,9583.47,175,9583.47
CD0550_NSF,Aqua Pharmacy  Grocery,"No. 39B, Kadawatha Road, Ragama.",20/03/2023 00:00,DSR30DSI001868,9128.2,173,9128.2
CD0080_JLM,Lanka Pharmacy,Negombo,21/03/2023 00:00,2702DSI001913,48654.12,172,48654.12
CD0068_NSF,Jayanthi Pharmacy,Katunayake,23/03/2023 00:00,7135DSI001998,39197.29,170,589.73
NO0427_JLM,Pradeep Pharmacy,"Church Junction, Nainamadama.",23/03/2023 00:00,2702DSI002006,964857,170,964857
CD0498_JLM,Isura Pharmacy  Grocery,"No, 137165, Silvesiene Park, Kandawala, Katana.",24/03/2023 00:00,2702DSI002033,4350,169,4350
CD0487_NSF,Healthcare Pharmacy  Family Needs,"No. 8B4R, Raddolugama.",24/03/2023 00:00,DSR30DSI002059,40414.14,169,1236.6
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",25/03/2023 00:00,DSR30DSI002096,8191.32,168,8191.32
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,25/03/2023 00:00,2702DSI002114,2610,168,2610
COLD57830_NSF,Medi Maxx Pharmacy & Grocery,"KOCHCHIKADE ROAD,ANDIMULLA,HALPE,KATANA.",27/03/2023 00:00,DSR30DSI002169,20192.23,166,3912.23
CD0508_NSF,St. Joseph Pharmacy  Grocery,"No. 128D, Minuwangoda Road, Ja-Ela.",28/03/2023 00:00,DSR30DSI002182,40869.52,165,40869.52
CD0110_NSF,New Medicare,Katunayake,28/03/2023 00:00,7135DSI002195,4695.7,165,4695.7
COLD15205_NSF,JAYAMAHA SUPER,"NO.215,YAKAKANDA,HENDALA ROAD,HENDALA.",30/03/2023 00:00,DSR30DSI002313,25533.05,163,11941.65
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,30/03/2023 00:00,2702DSI002357,255,163,255
CD0316_JLM,KFD Distributors,Negombo.,31/03/2023 00:00,2702DSI002395,664938,162,664938
CD0080_NSF,Lanka Pharmacy,Negombo,31/03/2023 00:00,DSR30DSI002494,139413.8,162,118478.8
COLD15275_NSF,Family Care Pharmacy & Grocery,"NO.424/B,BESLINE ROAD,AWERIWATTA,KATUNAYAKE.",3/4/2023 0:00,DSR30DSI002552,35554.7,159,35554.7
CD0163_NSF,Sethma Pharmacy,Kandana,3/4/2023 0:00,DSR30DSI002557,342474.15,159,342474.15
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,3/4/2023 0:00,7135DSI002559,23957,159,23957
CD0538_JLM,Ranmina Osusala,"No. 3033, Negombo Road, Kimbulapitiya.",4/4/2023 0:00,2702DSI002582,10452.57,158,10452.57
CD0099_NSF,Milan Pharmacy,Wattala,6/4/2023 0:00,DSR30DSI002616,4643.5,156,4643.5
CD0326_NSF,Sithijaya Pharmacy,"M.C. Building, Greens Road, Negombo.",6/4/2023 0:00,7135DSI002633,15625.49,156,15625.49
CD0122_NSF,Nishantha Wickramasingha Dr.,Ja-Ela,7/4/2023 0:00,7135DSI002639,13846.2,155,13846.2
CD0295_NSF,Sunil Mendis Dr.,"Waragoda Road, Ragama.",7/4/2023 0:00,DSR30DSI002643,180991.6,155,180991.6
COLD22403_NSF,CRISS Pharmacy,"NO.796,NEGOMBO ROAD,LIYANAGAHAMULLA.SEEDUWA.",8/4/2023 0:00,7135DSI002708,32013.31,154,13423.21
COLD60775_NSF,Tesmal Fernando Dr.,"NO.07,USWETAKEIYAWA ROAD,BOPITIYA,PAMUNUGAMA.",10/4/2023 0:00,7135DSI002742,17521.7,152,0.6
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,20/04/2023 00:00,7135DSI002977,22695.06,142,22695.06
CD0220_NSF,The Pharmacy,"No.136,Colombo Rd,",20/04/2023 00:00,7135DSI002998,9068.73,142,3382.49
CD0532_NSF,Nawaloka Hospital (Pvt) Ltd.,"COLOMBO ROAD, NEGOMBO.",21/04/2023 00:00,7135DSI003047,1203598.68,141,205807.26
CD0499_NSF,Shris Lanka Pharmacy,"No. 26, Dammaloka Mawatha, Averiwatta, Katunayake, Seeduwa.",22/04/2023 00:00,7135DSI003080,13203.71,140,13203.71
COLD22403_NSF,CRISS Pharmacy,"NO.796,NEGOMBO ROAD,LIYANAGAHAMULLA.SEEDUWA.",22/04/2023 00:00,7135DSI003082,14087.1,140,14087.1
CD0133_NSF,Peoples Pharmacy  Grocery,Wattala,24/04/2023 00:00,7135DSI003102,42076.31,138,18563.47
CD0080_NSF,Lanka Pharmacy,Negombo,27/04/2023 00:00,DSR30DSI003313,142287.51,135,6276.96
COLD22008_NSF,Sameera N Kumbukage Dr.,"MEDICAL OFFICER,DISTRICT GENERAL HOSPITAL,NEGOMBO.",30/04/2023 00:00,7135DSI003557,22826,132,22826
COLD14555_NSF,Nawa Lanka Pharmacy,"NO.194/A,COLOMBO ROAD,NEGOMBO.",11/5/2023 0:00,7135DSI000017,6040.98,121,6040.98
COLD14555_NSF,Nawa Lanka Pharmacy,"NO.194/A,COLOMBO ROAD,NEGOMBO.",11/5/2023 0:00,DSR30DSI000021,31155.34,121,31155.34
CD0167_NSF,Silveray Pharmacy,Negombo,20/05/2023 00:00,DSR30DSI004120,18464.45,112,300
CD0107_NSF,New Central Pharmacy,Negombo,26/05/2023 00:00,DSR30DSI004451,212695,106,212695
CD0164_NSF,Shanthi Vidya Nivasa,Katana,29/05/2023 00:00,7135DSI004541,163687.7,103,153260.5
CD0138_NSF,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",29/05/2023 00:00,7135DSI004580,153260.5,103,3004.22
CD0532_NSF,Nawaloka Hospital (Pvt) Ltd.,"COLOMBO ROAD, NEGOMBO.",30/05/2023 00:00,DSR30DSI004653,15088.8,102,15088.8
COLD60452_NSF,Fernando R.H.S.Dr.,"MEDIXCO FMC,THIBIRIGASKATUWA,KATANA.",31/05/2023 00:00,DSR30DSI004683,67391.46,101,0.08
CD0185_NSF,Suwasala Pharmacy,Wattala,7/6/2023 0:00,7135DSI004929,31111.13,94,31111.13
CD0185_NSF,Suwasala Pharmacy,Wattala,8/6/2023 0:00,DSR30DSI004967,40187.89,93,40187.89
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",23/06/2023 00:00,7135DSI005368,48033,78,48033
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",27/06/2023 00:00,DSR30DSI005487,90375.52,74,3696.02
CD0362_NSF,Mahendra David Dr.,"Madampelle, Katana.",27/06/2023 00:00,DSR30DSI005530,10123.08,74,10123.08
CD0467_NSF,Laksiri Lokuliayana Dr.,"643, St. Marys Road, Ja-Ela.",27/06/2023 00:00,DSR30DSI005534,41603.4,74,41603.4
CD0016_NSF,Ave Maria Pharmacy,Negombo,28/06/2023 00:00,7135DSI005562,10352.3,73,4165.6
CD0286_NSF,Jayakodi Super Market,"No.75,Jayantha Rd,Negombo.",30/06/2023 00:00,DSR30DSI005731,26232.18,71,26232.18
CD0088_NSF,Mahajana Osu Sala,Negombo,30/06/2023 00:00,DSR30DSI005776,22633.2,71,4382.64
CD0016_NSF,Ave Maria Pharmacy,Negombo,10/7/2023 0:00,7135DSI006016,6186.7,61,6186.7
CD0071_NSF,Kalidson Pharmacy,Negombo,10/7/2023 0:00,DSR30DSI006047,69556.56,61,60860.86
CD0532_NSF,Nawaloka Hospital (Pvt) Ltd.,"COLOMBO ROAD, NEGOMBO.",11/7/2023 0:00,7135DSI006057,466469,60,167476
COLD60746_NSF,Kahawevitharana P.M.Dr.,"NO.42,DR.JAYALATH JAYAWARDHANA MW,WELIGAMPITIYA,JA-ELA.",11/7/2023 0:00,7135DSI006092,7064.11,60,7064.11
CD0099_NSF,Milan Pharmacy,Wattala,11/7/2023 0:00,7135DSI006099,19682.45,60,19682.45
CD0348_NSF,Golden Chemist,"269, Negombo Road, Nagoda Junction, Welisara, Ragama.",11/7/2023 0:00,7135DSI006106,45934.93,60,45934.93
CD0348_NSF,Golden Chemist,"269, Negombo Road, Nagoda Junction, Welisara, Ragama.",12/7/2023 0:00,DSR30DSI006132,26178.67,59,26178.67
CD0201_NSF,Wasantha Disanayaka Dr.,Averiwatta,12/7/2023 0:00,7135DSI006137,24365.1,59,24365.1
COLD15234_NSF,One Pharmacy,"NO.93C,COLOMBO ROAD,NEGOMBO.",12/7/2023 0:00,DSR30DSI006159,18630.9,59,10
CD0348_NSF,Golden Chemist,"269, Negombo Road, Nagoda Junction, Welisara, Ragama.",13/07/2023 00:00,7135DSI006174,15256.65,58,15256.65
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",13/07/2023 00:00,DSR30DSI006191,10396.87,58,10396.87
CD0071_NSF,Kalidson Pharmacy,Negombo,13/07/2023 00:00,DSR30DSI006199,8695.7,58,8695.7
CD0071_NSF,Kalidson Pharmacy,Negombo,13/07/2023 00:00,7135DSI006213,79431.86,58,77937.08
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,14/07/2023 00:00,7135DSI006242,34988.79,57,34988.79
CD0133_NSF,Peoples Pharmacy  Grocery,Wattala,14/07/2023 00:00,DSR30DSI006244,13641,57,13641
CD0133_NSF,Peoples Pharmacy  Grocery,Wattala,14/07/2023 00:00,7135DSI006246,9606.6,57,9606.6
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,14/07/2023 00:00,7135DSI006250,3249.35,57,3249.35
CD0556_NSF,Silva D.C.D.S. Dr.,"New Mediua Hospital,Katunayake.",14/07/2023 00:00,7135DSI006260,64995.15,57,64995.15
